course,Par,Birdie_up,Eagle_up,Albatross_up,hole_in_one,improvement_room,good_level_rate,simple_shot_rate,diffulty,aveClub
12,5,0.9583236900970367,0.6639654555043261,0.061294664106225485,0.0,0.061294664106225485,0.6639654555043261,0.9583236900970367,16.314633819788458,3.4069915062040623
15,4,0.9999105293224687,0.9817851266299393,0.4917142527447619,0.006214574898785425,0.006214574898785425,0.4917142527447619,0.9817851266299393,160.91205211726384,2.527035898104048
25,3,0.9982042250920374,0.9901353435095048,0.6354278904205509,0.03887560254203825,0.03887560254203825,0.03887560254203825,0.6354278904205509,25.723073974702952,2.3317385841409197
177,5,1.0044409137525714,0.6223611568451095,0.12278797847282702,9.110704166325016e-06,0.12278797847282702,0.6223611568451095,1.0044409137525714,8.144119745576722,3.4376169997406416
178,5,0.964036541010918,0.5443753187524258,0.04477057256043079,0.0,0.04477057256043079,0.5443753187524258,0.964036541010918,22.336100317908866,3.49922859964701
1002,4,0.9980201529720207,0.9827542590508179,0.5494296901167062,0.0035448923367390845,0.0035448923367390845,0.5494296901167062,0.9827542590508179,282.0960144927536,2.460951496047565
1003,3,0.9996018612984298,0.996155473162963,0.811403563341379,0.04168325577923209,0.04168325577923209,0.04168325577923209,0.811403563341379,23.990448473994476,2.1512616020106003
1004,5,0.9910337898409434,0.8715339211089927,0.20509587962828907,3.877802681888335e-05,0.20509587962828907,0.8715339211089927,0.9910337898409434,4.87576835679184,2.932629352980875
1005,4,0.9827686629423862,0.8667232115941284,0.2932420398854825,0.002338703930447852,0.002338703930447852,0.2932420398854825,0.8667232115941284,427.58725761772854,2.8608531584567194
1006,3,0.995394723645148,0.9916946719946809,0.7608233442646406,0.025715113058367326,0.025715113058367326,0.025715113058367326,0.7608233442646406,38.88763769889841,2.205925158291655
1007,5,0.9756048113934275,0.7550331255955431,0.08803388815680838,2.692768570005251e-05,0.08803388815680838,0.7550331255955431,0.9756048113934275,11.359261994866937,3.1832431893886644
1008,5,0.9024669411667193,0.5426251705586826,0.0761940320551131,6.341556217895871e-05,0.0761940320551131,0.5426251705586826,0.9024669411667193,13.124387475342875,3.491700675087653
1013,5,0.9777890312259868,0.68319457888639,0.09457337325902615,0.0013579408678476637,0.09457337325902615,0.68319457888639,0.9777890312259868,10.57380069611252,3.2507357276686566
1014,3,1.0043388579810317,0.9913394432627372,0.77009910811195,0.049601926705425764,0.049601926705425764,0.049601926705425764,0.77009910811195,20.160507190351012,2.211020310711833
1016,5,0.970202760175561,0.6527554105001356,0.09752941554683983,0.0,0.09752941554683983,0.6527554105001356,0.970202760175561,10.25331685208076,3.4645463934228906
1017,5,1.0383594358871082,0.8662735768755138,0.1848615471114651,1.561792312858236e-05,0.1848615471114651,0.8662735768755138,1.0383594358871082,5.409453808135852,3.1485576828242894
1018,5,0.9678274483343138,0.738289833842496,0.13428623127991846,0.00014175492598367793,0.13428623127991846,0.738289833842496,0.9678274483343138,7.4467798408573165,3.1615365583993977
1019,4,0.9959407914966897,0.9388013756580869,0.4104986555938491,0.001340771422414825,0.001340771422414825,0.4104986555938491,0.9388013756580869,745.8392857142858,2.655352615244557
1023,3,1.0175918496117755,1.0124458886639391,0.8258478348099102,0.0940942287259082,0.0940942287259082,0.0940942287259082,0.8258478348099102,10.627644368210406,2.1424485755834026
1024,3,1.028412237323358,1.0246335742250063,0.8221291645175676,0.10784779477120177,0.10784779477120177,0.10784779477120177,0.8221291645175676,9.272326820603908,2.160787092867425
1026,5,0.9853977835312245,0.7972951574470303,0.12245466329848358,0.000567787521292032,0.12245466329848358,0.7972951574470303,0.9853977835312245,8.166287612603998,3.0978285868518904
1027,3,1.0312636853375388,1.0237091954610764,0.6805030237891102,0.12169789165069432,0.12169789165069432,0.12169789165069432,0.6805030237891102,8.21706922310757,2.301911010921532
1028,3,0.9955248302232483,0.9715244052354857,0.5841822104013636,0.007963311347340903,0.007963311347340903,0.007963311347340903,0.5841822104013636,125.57590132827325,2.427099903173157
1032,3,1.00136329226906,0.9974488097970367,0.7057104085384657,0.03510576013691021,0.03510576013691021,0.03510576013691021,0.7057104085384657,28.485353859311527,2.269533169677116
1035,4,1.0032003463202885,0.9780472908765157,0.5533365041305115,0.023965877492027086,0.023965877492027086,0.5533365041305115,0.9780472908765157,41.725991478203866,2.4666682486304783
1046,4,0.966310825751737,0.860741961124631,0.4497456134829549,0.011800359585142382,0.011800359585142382,0.4497456134829549,0.860741961124631,84.74318030605455,2.7421424245421386
2048,5,0.9493690934811593,0.8158814295567647,0.24275901469788178,0.0003562699366170927,0.24275901469788178,0.8158814295567647,0.9493690934811593,4.119311495989218,3.0017128856161075
3010,3,1.0227863897322942,0.9655951589964574,0.5945120246357021,0.07897479867520721,0.07897479867520721,0.07897479867520721,0.5945120246357021,12.66226716338478,2.498930572053346
3011,5,0.9752893588028603,0.8013637654738032,0.1659885249349963,5.340168749332479e-05,0.1659885249349963,0.8013637654738032,0.9752893588028603,6.0245128414245235,3.060563802127336
3022,5,0.9826261441808246,0.6977580034027246,0.11638183013737083,6.4e-05,0.11638183013737083,0.6977580034027246,0.9826261441808246,8.5924065536661,3.337335003218659
3036,3,1.0298265889387686,1.0266029028002004,0.7919185519124307,0.0932117943126952,0.0932117943126952,0.0932117943126952,0.7919185519124307,10.728256090053645,2.209159830166784
3039,5,0.9797998045708338,0.6258273404818369,0.1391411838967597,7.890307195960162e-05,0.1391411838967597,0.6258273404818369,0.9797998045708338,7.1869447419822325,3.4713615092832852
3041,5,0.9884324822340391,0.6314674741108427,0.07700984129773143,6.434178355424013e-05,0.07700984129773143,0.6314674741108427,0.9884324822340391,12.98535334118989,3.387424751109268
3042,5,0.9432943376851988,0.6527981516796244,0.08208797858295439,0.0,0.08208797858295439,0.6527981516796244,0.9432943376851988,12.182051711621153,3.32751301892328
3043,5,0.9884922681479256,0.7241549353346012,0.0903987124343282,0.0001419962903469147,0.0903987124343282,0.7241549353346012,0.9884922681479256,11.062104460021688,3.197834074566977
3047,5,1.0119127319514423,0.7680153394189558,0.08473020922549859,0.0,0.08473020922549859,0.7680153394189558,1.0119127319514423,11.80216606498195,3.290496028801703
3052,5,0.9063049739669925,0.6288604953894974,0.14074180874897257,0.0001402438489924356,0.14074180874897257,0.6288604953894974,0.9063049739669925,7.105209240159777,3.339932253101057
3053,5,0.9713473068188304,0.6350227394629797,0.09058121854973017,1.0246846532979476e-05,0.09058121854973017,0.6350227394629797,0.9713473068188304,11.039816156270719,3.42851062594832
3054,4,1.017184509721831,0.9547724554480725,0.6390628689602269,0.09758016745205866,0.09758016745205866,0.6390628689602269,0.9547724554480725,10.247984053637765,2.445639940557852
3057,3,1.0125171359074314,1.0013067064292203,0.8186153936123524,0.03526639026991691,0.03526639026991691,0.03526639026991691,0.8186153936123524,28.35560975609756,2.2010205975548964
3060,5,0.8905485717912336,0.47998331754242013,0.030191621598342634,0.0,0.030191621598342634,0.47998331754242013,0.8905485717912336,33.12177177177177,3.61245925717731
3073,3,1.01843527953495,0.9667173051744673,0.6606585777380117,0.08325357201369307,0.08325357201369307,0.08325357201369307,0.6606585777380117,12.011496633868463,2.4168297552280906
30135,5,0.8657889831616924,0.36701718483963264,0.040401332007092505,0.0,0.040401332007092505,0.36701718483963264,0.8657889831616924,24.751659173624493,3.8005017546030895
30136,5,0.7438315232755883,0.2976222060812721,0.0170190371391664,0.0,0.0170190371391664,0.2976222060812721,0.7438315232755883,58.75773064145157,3.9863299683801685
30138,5,0.7632477814962586,0.3839075244052854,0.010825340132923394,0.0,0.010825340132923394,0.3839075244052854,0.7632477814962586,92.37585034013605,3.8431168709440358
55,4,0.999912836760979,0.9843927934035892,0.6076154599434518,0.004230066077798795,0.004230066077798795,0.6076154599434518,0.9843927934035892,236.40292648108496,2.403893013617504
56,5,0.9525651474133295,0.73769526241609,0.14845625149134667,0.0,0.14845625149134667,0.73769526241609,0.9525651474133295,6.73599117554365,3.164250097097937
58,5,0.9384195601957708,0.2808988151285468,0.022362163899187985,0.0,0.022362163899187985,0.2808988151285468,0.9384195601957708,44.718391498611275,3.7599564874128624
59,5,0.9452621666453433,0.6986474937006734,0.08652940133344308,9.696485736897267e-05,0.08652940133344308,0.6986474937006734,0.9452621666453433,11.55676549923738,3.279832961920047
61,5,0.9860802781201005,0.7793161925009988,0.04519538170192836,0.0,0.04519538170192836,0.7793161925009988,0.9860802781201005,22.126154539310654,3.1905788401152573
62,3,0.9992581602373887,0.9992581602373887,0.9992581602373887,0.9992581602373887,0.9992581602373887,0.9992581602373887,0.9992581602373887,1.0007423904974018,1.0674399784192068
137,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1034,4,0.9599235655509328,0.7196733764733033,0.13606410218595444,0.0004390941859811529,0.0004390941859811529,0.13606410218595444,0.7196733764733033,2277.4157160963246,3.1754943291865843
34,4,0.993845144226467,0.9430650982887712,0.370375157848684,0.0,0.0,0.370375157848684,0.9430650982887712,0.0,2.6830696721718987
